amount,asset_description,cap_gains_over_200_usd,disclosure_date,disclosure_year,district,owner,ptr_link,representative,ticker,transaction_date,type
"$1,000 - $15,000",3M Company,False,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Gilbert Cisneros,MMM,3/18/2020,sale_full
"$1,000 - $15,000",3M Company,False,10/8/2021,2021,IA03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf,Cindy Axne,MMM,11/22/2019,sale_full
"$1,000 - $15,000",3M Company,False,10/8/2021,2021,IA03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf,Cindy Axne,MMM,11/22/2019,purchase
"$1,000 - $15,000",3M Company,False,11/8/2021,2021,GA12,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019653.pdf,Richard W. Allen,MMM,5/14/2020,sale_full
"$15,000 - $50,000",AT&T Inc,False,8/10/2020,2020,OR03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017141.pdf,Earl Blumenauer,--,7/30/2020,sale_full
"$1,000 - $15,000",A.O. Smith Corporation,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,AOS,2/20/2019,purchase
"$1,000 - $15,000",A.O. Smith Corporation,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,AOS,3/6/2019,purchase
"$1,000 - $15,000",A.O. Smith Corporation,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,AOS,6/24/2019,sale_full
"$1,000 - $15,000",A.P. Moller-Maersk A/S Unsponsored American Depository Receipt,False,4/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf,Greg Gianforte,AMKBY,3/18/2020,purchase
"$1,000 - $15,000",A.P. Moller-Maersk A/S Unsponsored American Depository Receipt,False,12/2/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017780.pdf,Greg Gianforte,AMKBY,11/13/2020,purchase
"$1,000 - $15,000",AAR Corp.,False,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Gilbert Cisneros,AIR,3/31/2020,sale_full
"$1,000 - $15,000","Aaron's, Inc.",False,4/15/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016342.pdf,David B. McKinley,AAN,3/23/2020,sale_full
"$1,000 - $15,000",AB Electrolux Class B American Depositary Receipts,False,4/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf,Greg Gianforte,ELUXY,3/19/2020,purchase
"$1,000 - $15,000",AB Global bond,False,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Joe Courtney,--,8/7/2020,sale_full
"$1,000 - $15,000",AB High Income,False,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Joe Courtney,--,8/7/2020,sale_full
"$1,000 - $15,000",ABB Ltd,False,5/29/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016678.pdf,Katherine M. Clark,ABB,4/3/2020,sale_full
"$1,000 - $15,000",ABB Ltd,False,5/29/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016678.pdf,Katherine M. Clark,ABB,4/3/2020,sale_full
"$1,000 - $15,000",ABB Ltd,False,8/15/2021,2021,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019340.pdf,Katherine M. Clark,ABB,7/27/2021,sale_full
"$1,000 - $15,000",ABB Ltd,False,8/15/2021,2021,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019340.pdf,Katherine M. Clark,ABB,7/27/2021,sale_full
"$1,000 - $15,000",Abb ltd,False,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Katherine M. Clark,ABB,11/10/2020,purchase
"$1,000 - $15,000",Abb ltd,False,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Katherine M. Clark,ABB,11/5/2020,purchase
"$50,000 - $100,000",Abb ltd,False,12/9/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019983.pdf,Kevin Hern,ABB,11/26/2021,purchase
"$1,000 - $15,000",ABB Ltf,False,6/14/2022,2022,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021223.pdf,Kevin Hern,ABB,5/11/2022,purchase
"$1,000 - $15,000",Abbott Laboratories,False,9/3/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017274.pdf,David B. McKinley,ABT,8/28/2020,sale_partial
"$1,000 - $15,000",Abbott Laboratories,False,7/13/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218147.pdf,Rohit Khanna,ABT,6/15/2021,purchase
"$1,000 - $15,000",Abbott Laboratories,False,7/13/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218147.pdf,Rohit Khanna,ABT,6/14/2021,purchase
"$1,000 - $15,000",Abbott Laboratories,False,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Gilbert Cisneros,ABT,3/18/2020,purchase
"$1,000 - $15,000",Abbott Laboratories,False,4/11/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,Josh Gottheimer,ABT,3/13/2020,sale_partial
"$1,000 - $15,000",Abbott Laboratories,False,9/2/2022,2022,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021633.pdf,Carol Devine Miller,ABT,3/4/2021,purchase
"$1,000 - $15,000",Abbott Laboratories,False,7/29/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017036.pdf,Joe Courtney,ABT,12/31/2019,purchase
"$1,000 - $15,000",Abbott Laboratories,False,3/12/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Rohit Khanna,ABT,2/11/2021,purchase
"$15,000 - $50,000",Abbott Laboratories,False,3/12/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Rohit Khanna,ABT,2/11/2021,purchase
"$1,000 - $15,000",Abbott Laboratories,False,12/3/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017790.pdf,Katherine M. Clark,ABT,10/22/2020,purchase
"$1,000 - $15,000",Abbott Laboratories,False,12/3/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017790.pdf,Katherine M. Clark,ABT,10/22/2020,purchase
"$15,000 - $50,000",Abbott Laboratories,False,9/14/2020,2020,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017362.pdf,Carol Devine Miller,ABT,7/28/2020,purchase
"$1,000 - $15,000",Abbott Laboratories,False,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Katherine M. Clark,ABT,11/5/2020,sale_full
"$1,000 - $15,000",Abbott Laboratories,False,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Katherine M. Clark,ABT,11/10/2020,sale_full
"$1,000 - $15,000",Abbott Laboratories,False,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Joe Courtney,ABT,8/7/2020,sale_full
