amount,asset_description,cap_gains_over_200_usd,disclosure_date,disclosure_year,district,owner,ptr_link,representative,ticker,transaction_date,type
"$1,001 - $15,000",3D Systems Corporation,FALSE,1/28/2021,2021,LA06,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018091.pdf,Hon. Garret Graves,DDD,1/27/2021,sale_full
"$1,001 - $15,000",3i Group plc Unsponsored ADR,FALSE,3/16/2022,2022,FL04,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020629.pdf,Hon. John Rutherford,TGOPY,2/17/2022,purchase
"$1,001 - $15,000",3M Company,FALSE,6/15/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016759.pdf,Hon. Dean Phillips,MMM,5/13/2020,purchase
"$1,001 - $15,000",3M Company,FALSE,5/2/2020,2020,KY03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016440.pdf,Hon. John A. Yarmuth,MMM,3/31/2020,sale_full
"$1,001 - $15,000",3M Company,FALSE,10/9/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017490.pdf,Hon. Dean Phillips,MMM,9/23/2020,purchase
"$1,001 - $15,000",3M Company,FALSE,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Hon. Gilbert Cisneros,MMM,3/18/2020,sale_full
"$1,001 - $15,000",3M Company,FALSE,10/8/2021,2021,IA03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf,Hon. Cindy Axne,MMM,11/22/2019,sale_full
"$1,001 - $15,000",3M Company,FALSE,10/8/2021,2021,IA03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf,Hon. Cindy Axne,MMM,11/22/2019,sale_full
"$1,001 - $15,000",3M Company,FALSE,10/8/2021,2021,IA03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019530.pdf,Hon. Cindy Axne,MMM,11/22/2019,purchase
"$1,001 - $15,000",3M Company,FALSE,11/8/2021,2021,GA12,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019653.pdf,Hon. Richard W. Allen,MMM,5/14/2020,sale_full
"$15,001 - $50,000",3M Company,FALSE,3/12/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf,Hon. Dean Phillips,MMM,2/28/2020,sale_partial
"$1,001 - $15,000",3M Company,FALSE,4/6/2020,2020,TX11,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016346.pdf,Hon. K. Michael Conaway,MMM,3/11/2020,sale_full
"$1,001 - $15,000",3M Company,FALSE,5/7/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016559.pdf,Hon. Dean Phillips,MMM,4/2/2020,purchase
"$1,001 - $15,000",3M Company,FALSE,5/13/2020,2020,CA39,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016567.pdf,Hon. Gilbert Cisneros,MMM,4/29/2020,purchase
"$100,001 - $250,000",7 heave for Kids LLC,FALSE,7/22/2022,2022,FL27,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021322.pdf,Hon. Maria Elvira Salazar,--,6/21/2022,sale_full
"$15,001 - $50,000",8x8 Inc,FALSE,8/26/2021,2021,NJ07,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019374.pdf,Hon. Tom Malinowski,EGHT,3/18/2019,sale_partial
"$1,001 - $15,000",8x8 Inc,FALSE,8/26/2021,2021,NJ07,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019374.pdf,Hon. Tom Malinowski,EGHT,8/16/2019,sale_partial
"$15,001 - $50,000",AT&T Inc,FALSE,8/10/2020,2020,OR03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017141.pdf,Hon. Earl Blumenauer,--,7/30/2020,sale_full
"$1,001 - $15,000",A.O. Smith Corporation,FALSE,3/12/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf,Hon. Dean Phillips,AOS,2/28/2020,sale_full
"$1,001 - $15,000",A.O. Smith Corporation,FALSE,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Hon. Donna Shalala,AOS,2/20/2019,purchase
"$1,001 - $15,000",A.O. Smith Corporation,FALSE,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Hon. Donna Shalala,AOS,3/6/2019,purchase
"$1,001 - $15,000",A.O. Smith Corporation,FALSE,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Hon. Donna Shalala,AOS,6/24/2019,sale_full
"$1,001 - $15,000",A.P. Moller-Maersk A/S Unsponsored American Depository Receipt,FALSE,4/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf,Hon. Greg Gianforte,AMKBY,3/18/2020,purchase
"$1,001 - $15,000",A.P. Moller-Maersk A/S Unsponsored American Depository Receipt,FALSE,12/2/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017780.pdf,Hon. Greg Gianforte,AMKBY,11/13/2020,purchase
"$1,001 - $15,000",AAR Corp.,FALSE,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Hon. Gilbert Cisneros,AIR,3/31/2020,sale_full
"$1,001 - $15,000","Aaron's, Inc.",FALSE,4/15/2020,2020,WV01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016342.pdf,Hon. David B. McKinley,AAN,3/9/2020,sale_full
"$1,001 - $15,000","Aaron's, Inc.",FALSE,4/15/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016342.pdf,Hon. David B. McKinley,AAN,3/23/2020,sale_full
"$1,001 - $15,000",AB Electrolux Class B American Depositary Receipts,FALSE,4/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf,Hon. Greg Gianforte,ELUXY,3/19/2020,purchase
"$1,001 - $15,000",AB Global bond,FALSE,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Hon. Joe Courtney,--,8/7/2020,sale_full
"$1,001 - $15,000",AB High Income,FALSE,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Hon. Joe Courtney,--,8/7/2020,sale_full
"$1,001 - $15,000",AB Volvo Class B ADR Receipts,FALSE,3/16/2022,2022,FL04,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020629.pdf,Hon. John Rutherford,VOLVY,2/17/2022,purchase
"$1,001 - $15,000",ABB Ltd,FALSE,2/2/2021,2021,FL04,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018124.pdf,Hon. John Rutherford,ABB,1/20/2021,sale_full
"$1,001 - $15,000",ABB Ltd,FALSE,5/29/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016678.pdf,Hon. Katherine M. Clark,ABB,4/3/2020,sale_full
"$1,001 - $15,000",ABB Ltd,FALSE,5/29/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016678.pdf,Hon. Katherine M. Clark,ABB,4/3/2020,sale_full
"$1,001 - $15,000",ABB Ltd,FALSE,8/15/2021,2021,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019340.pdf,Hon. Katherine M. Clark,ABB,7/27/2021,sale_full
"$1,001 - $15,000",ABB Ltd,FALSE,8/15/2021,2021,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019340.pdf,Hon. Katherine M. Clark,ABB,7/27/2021,sale_full
"$1,001 - $15,000",Abb ltd,FALSE,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Hon. Katherine M. Clark,ABB,11/10/2020,purchase
"$1,001 - $15,000",Abb ltd,FALSE,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Hon. Katherine M. Clark,ABB,11/5/2020,purchase
"$50,001 - $100,000",Abb ltd,FALSE,12/9/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019983.pdf,Hon. Kevin Hern,ABB,11/26/2021,purchase
"$1,001 - $15,000",ABB Ltd,FALSE,3/16/2022,2022,FL04,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020629.pdf,Hon. John Rutherford,ABB,2/17/2022,sale_full
"$1,001 - $15,000",ABB Ltf,FALSE,6/14/2022,2022,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021223.pdf,Hon. Kevin Hern,ABB,5/11/2022,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,9/3/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017274.pdf,Hon. David B. McKinley,ABT,8/28/2020,sale_partial
"$1,001 - $15,000",Abbott Laboratories,FALSE,4/9/2020,2020,UT03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016299.pdf,Hon. John Curtis,ABT,3/27/2020,purchase
"$15,001 - $50,000",Abbott Laboratories,TRUE,3/16/2021,2021,MI03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018311.pdf,Mr. Peter Meijer,ABT,2/16/2021,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,7/13/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218147.pdf,Hon. Rohit Khanna,ABT,6/15/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,7/13/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218147.pdf,Hon. Rohit Khanna,ABT,6/14/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,10/9/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017490.pdf,Hon. Dean Phillips,ABT,9/23/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,5/13/2022,2022,VA01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021015.pdf,Hon. Robert J. Wittman,ABT,4/19/2022,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Hon. Gilbert Cisneros,ABT,3/18/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,8/13/2022,2022,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021509.pdf,Hon. Dean Phillips,ABT,1/5/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,7/8/2022,2022,VA01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021344.pdf,Hon. Robert J. Wittman,ABT,6/16/2022,sale_partial
"$1,001 - $15,000",Abbott Laboratories,FALSE,4/5/2020,2020,NJ11,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016323.pdf,Hon. Mikie Sherrill,ABT,2/20/2020,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,4/11/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,Hon. Josh Gottheimer,ABT,3/13/2020,sale_partial
"$50,001 - $100,000",Abbott Laboratories,FALSE,10/5/2020,2020,TX11,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017475.pdf,Hon. K. Michael Conaway,ABT,9/28/2020,purchase
"$15,001 - $50,000",Abbott Laboratories,FALSE,10/5/2020,2020,TX11,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017475.pdf,Hon. K. Michael Conaway,ABT,9/28/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,9/2/2022,2022,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021633.pdf,Hon. Carol Devine Miller,ABT,3/4/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,8/10/2022,2022,VA01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021515.pdf,Hon. Robert J. Wittman,ABT,7/15/2022,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,7/29/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017036.pdf,Hon. Joe Courtney,ABT,12/31/2019,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,3/12/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016196.pdf,Hon. Dean Phillips,ABT,2/28/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,3/12/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Hon. Rohit Khanna,ABT,2/11/2021,purchase
"$15,001 - $50,000",Abbott Laboratories,FALSE,3/12/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Hon. Rohit Khanna,ABT,2/11/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,1/27/2022,2022,TX26,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020305.pdf,Hon. Michael C. Burgess,ABT,1/7/2022,sale_partial
"$1,001 - $15,000",Abbott Laboratories,FALSE,12/3/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017790.pdf,Hon. Katherine M. Clark,ABT,10/22/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,12/3/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017790.pdf,Hon. Katherine M. Clark,ABT,10/22/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,4/9/2022,2022,VA01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020748.pdf,Hon. Robert J. Wittman,ABT,3/15/2022,sale_partial
"$15,001 - $50,000",Abbott Laboratories,FALSE,9/14/2020,2020,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017362.pdf,Hon. Carol Devine Miller,ABT,7/28/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,2/13/2021,2021,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018175.pdf,Hon. Dean Phillips,ABT,1/5/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,2/13/2021,2021,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018175.pdf,Hon. Dean Phillips,ABT,1/5/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Hon. Katherine M. Clark,ABT,11/5/2020,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,12/28/2020,2020,MA05,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017924.pdf,Hon. Katherine M. Clark,ABT,11/10/2020,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,8/27/2020,2020,CT02,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017260.pdf,Hon. Joe Courtney,ABT,8/7/2020,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,5/15/2020,2020,WV01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016540.pdf,Hon. David B. McKinley,ABT,4/30/2020,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,11/18/2021,2021,WA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019850.pdf,Hon. Kim Dr Schrier,ABT,10/28/2021,sale_full
"$1,001 - $15,000",Abbott Laboratories,FALSE,12/31/2021,2021,TX26,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019995.pdf,Hon. Michael C. Burgess,ABT,12/2/2021,purchase
"$1,001 - $15,000",Abbott Laboratories,FALSE,5/7/2020,2020,MN03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016559.pdf,Hon. Dean Phillips,ABT,4/2/2020,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,2/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,Hon. Josh Gottheimer,ABBV,1/28/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,3/9/2020,2020,VA01,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016184.pdf,Hon. Robert J. Wittman,ABBV,2/27/2020,purchase
"$1,001 - $15,000",AbbVie Inc,TRUE,3/16/2021,2021,MI03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018311.pdf,Mr. Peter Meijer,ABBV,2/16/2021,sale_full
"$1,001 - $15,000",AbbVie Inc,FALSE,3/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,Hon. Josh Gottheimer,ABBV,2/18/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,3/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,Hon. Josh Gottheimer,ABBV,2/9/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,11/28/2021,2021,OH07,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019893.pdf,Hon. Bob Gibbs,ABBV,11/26/2021,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,8/19/2022,2022,PA03,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021576.pdf,Hon. Dwight Evans,ABBV,8/5/2022,purchase
"$15,001 - $50,000",AbbVie Inc,FALSE,12/21/2021,2021,CA28,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020070.pdf,Hon. Adam B. Schiff,ABBV,12/13/2021,sale_full
"$1,001 - $15,000",AbbVie Inc,FALSE,7/8/2022,2022,VA01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021344.pdf,Hon. Robert J. Wittman,ABBV,6/16/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,9/10/2021,2021,CA19,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019458.pdf,Hon. Zoe Lofgren,ABBV,8/9/2021,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,6/21/2021,2021,GA14,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018953.pdf,Hon. Marjorie Taylor Greene,ABBV,6/16/2021,purchase
"$15,001 - $50,000",AbbVie Inc,FALSE,11/22/2020,2020,OH07,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017734.pdf,Hon. Bob Gibbs,ABBV,11/17/2020,purchase
"$15,001 - $50,000",AbbVie Inc,FALSE,10/24/2020,2020,MI12,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017566.pdf,Hon. Debbie Dingell,ABBV,10/13/2020,purchase
"$1,001 - $15,000",AbbVie Inc,TRUE,8/7/2020,2020,SC04,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017111.pdf,Hon. William R. Timmons,ABBV,6/29/2020,sale_full
"$15,001 - $50,000",AbbVie Inc,FALSE,12/29/2020,2020,TX24,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217786.pdf,Hon. Kenny Marchant,ABBV,11/19/2020,purchase
"$15,001 - $50,000",AbbVie Inc,FALSE,12/29/2020,2020,TX24,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217786.pdf,Hon. Kenny Marchant,ABBV,11/17/2020,sale_full
"$15,001 - $50,000",AbbVie Inc,FALSE,12/29/2020,2020,TX24,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217786.pdf,Hon. Kenny Marchant,ABBV,11/19/2020,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,5/6/2021,2021,NC06,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018693.pdf,Hon. Kathy Manning,ABBV,4/30/2021,sale_partial
"$1,001 - $15,000",AbbVie Inc,FALSE,1/11/2021,2021,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,Hon. Gilbert Cisneros,ABBV,12/22/2020,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,8/13/2020,2020,PA09,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017182.pdf,Hon. Daniel Meuser,ABBV,12/11/2019,sale_full
"$50,001 - $100,000",AbbVie Inc,FALSE,6/29/2021,2021,MI12,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018962.pdf,Hon. Debbie Dingell,ABBV,6/18/2021,sale_full
"$1,001 - $15,000",AbbVie Inc,FALSE,7/30/2021,2021,CA28,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019197.pdf,Hon. Adam B. Schiff,ABBV,7/23/2021,sale_partial
"$1,001 - $15,000",AbbVie Inc,FALSE,3/12/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Hon. Rohit Khanna,ABBV,2/11/2021,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,3/12/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Hon. Rohit Khanna,ABBV,2/11/2021,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,4/17/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,Hon. Josh Gottheimer,ABBV,3/8/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,4/17/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,Hon. Josh Gottheimer,ABBV,3/17/2022,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,2/6/2020,2020,OR05,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8216960.pdf,Hon. Kurt Schrader,ABBV,1/7/2020,sale_full
"$15,001 - $50,000",AbbVie Inc,FALSE,8/12/2020,2020,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017172.pdf,Hon. Carol Devine Miller,ABBV,7/2/2019,purchase
"$1,001 - $15,000",AbbVie Inc,FALSE,12/9/2020,2020,NY25,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017819.pdf,Hon. Joseph D. Morelle,ABBV,11/20/2020,sale_full
"$1,001 - $15,000",AbbVie Inc,FALSE,7/28/2021,2021,OH01,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218196.pdf,Hon. Steve Chabot,ABBV,5/8/2020,exchange
"$500,001 - $1,000,000","Abdiel Qualified Onshore Partners - Hedge Fund, Fund manager letter on File with Ethics Committee",FALSE,7/26/2022,2022,NC06,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021437.pdf,Hon. Kathy Manning,--,7/1/2022,sale_full
"$1,001 - $15,000","ABIOMEd, Inc.",FALSE,2/10/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,Hon. Josh Gottheimer,ABMD,1/10/2020,purchase
"$1,001 - $15,000","ABIOMEd, Inc.",FALSE,1/6/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013859.pdf,Hon. Josh Gottheimer,ABMD,12/10/2019,sale_full
"$1,001 - $15,000","ABIOMEd, Inc.",FALSE,1/11/2021,2021,CA39,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,Hon. Gilbert Cisneros,ABMD,12/23/2020,purchase
"$1,001 - $15,000","ABIOMEd, Inc.",FALSE,1/11/2021,2021,CA39,,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,Hon. Gilbert Cisneros,ABMD,12/31/2020,purchase
