name,url,reach,taggings
rock,https://www.last.fm/tag/rock,398574,4015748
electronic,https://www.last.fm/tag/electronic,257430,2421665
seen live,https://www.last.fm/tag/seen+live,81974,2152599
alternative,https://www.last.fm/tag/alternative,264165,2109966
indie,https://www.last.fm/tag/indie,256508,2038222
pop,https://www.last.fm/tag/pop,229416,2017725
female vocalists,https://www.last.fm/tag/female+vocalists,168557,1616492
metal,https://www.last.fm/tag/metal,156891,1274567
alternative rock,https://www.last.fm/tag/alternative+rock,168108,1183479
jazz,https://www.last.fm/tag/jazz,148134,1168025
classic rock,https://www.last.fm/tag/classic+rock,136862,1142897
ambient,https://www.last.fm/tag/ambient,146593,1085477
experimental,https://www.last.fm/tag/experimental,141786,1076910
folk,https://www.last.fm/tag/folk,149068,932261
punk,https://www.last.fm/tag/punk,143400,897282
indie rock,https://www.last.fm/tag/indie+rock,134946,893783
Hip-Hop,https://www.last.fm/tag/Hip-Hop,129018,888940
hard rock,https://www.last.fm/tag/hard+rock,114504,869206
black metal,https://www.last.fm/tag/black+metal,62856,865246
instrumental,https://www.last.fm/tag/instrumental,124434,857930
singer-songwriter,https://www.last.fm/tag/singer-songwriter,108910,839929
dance,https://www.last.fm/tag/dance,133036,807310
80s,https://www.last.fm/tag/80s,100220,785024
death metal,https://www.last.fm/tag/death+metal,71762,732080
Progressive rock,https://www.last.fm/tag/Progressive+rock,95881,730350
heavy metal,https://www.last.fm/tag/heavy+metal,90068,712571
hardcore,https://www.last.fm/tag/hardcore,97934,702387
british,https://www.last.fm/tag/british,93056,690927
soul,https://www.last.fm/tag/soul,101056,681430
chillout,https://www.last.fm/tag/chillout,103304,649326
electronica,https://www.last.fm/tag/electronica,101879,633939
rap,https://www.last.fm/tag/rap,106684,591593
industrial,https://www.last.fm/tag/industrial,83919,572018
Classical,https://www.last.fm/tag/Classical,74202,568895
Soundtrack,https://www.last.fm/tag/Soundtrack,84549,564148
punk rock,https://www.last.fm/tag/punk+rock,97523,557411
blues,https://www.last.fm/tag/blues,95808,548436
thrash metal,https://www.last.fm/tag/thrash+metal,62354,501474
90s,https://www.last.fm/tag/90s,56797,489210
metalcore,https://www.last.fm/tag/metalcore,67277,481357
acoustic,https://www.last.fm/tag/acoustic,110773,478696
psychedelic,https://www.last.fm/tag/psychedelic,77881,478024
japanese,https://www.last.fm/tag/japanese,49108,466804
post-rock,https://www.last.fm/tag/post-rock,65176,445360
hip hop,https://www.last.fm/tag/hip+hop,78413,442655
Progressive metal,https://www.last.fm/tag/Progressive+metal,62252,438568
german,https://www.last.fm/tag/german,59329,437359
funk,https://www.last.fm/tag/funk,82894,428367
House,https://www.last.fm/tag/House,73435,425983
new wave,https://www.last.fm/tag/new+wave,63991,424247
