name,duration,playcount,listeners,mbid,url,artist
Bad Habit,0,7983555,526255,,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,"{'name': 'Steve Lacy', 'mbid': 'ca9766a0-1c30-43e6-a213-bac1334efc4a', 'url': 'https://www.last.fm/music/Steve+Lacy'}"
As It Was,0,18572657,830412,,https://www.last.fm/music/Harry+Styles/_/As+It+Was,"{'name': 'Harry Styles', 'mbid': '', 'url': 'https://www.last.fm/music/Harry+Styles'}"
Unholy (feat. Kim Petras),0,2064704,249289,,https://www.last.fm/music/Sam+Smith/_/Unholy+(feat.+Kim+Petras),"{'name': 'Sam Smith', 'mbid': '5a85c140-dcf9-4dd2-b2c8-aff0471549f3', 'url': 'https://www.last.fm/music/Sam+Smith'}"
505,253,18865641,1335374,8dee0224-bcf9-4023-a805-9562bafd3450,https://www.last.fm/music/Arctic+Monkeys/_/505,"{'name': 'Arctic Monkeys', 'mbid': 'ada7a83c-e3e1-40f1-93f9-3e73dbc9298a', 'url': 'https://www.last.fm/music/Arctic+Monkeys'}"
Glimpse of Us,0,9436237,535482,,https://www.last.fm/music/Joji/_/Glimpse+of+Us,"{'name': 'Joji', 'mbid': '', 'url': 'https://www.last.fm/music/Joji'}"
Dark Red,0,11089363,735351,,https://www.last.fm/music/Steve+Lacy/_/Dark+Red,"{'name': 'Steve Lacy', 'mbid': 'ca9766a0-1c30-43e6-a213-bac1334efc4a', 'url': 'https://www.last.fm/music/Steve+Lacy'}"
Sweater Weather,240,17563823,1321584,7edd94f0-3add-48c7-b4ee-0b5300773792,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,"{'name': 'The Neighbourhood', 'mbid': '97b8d224-5660-419c-8dff-4b3bf0c33983', 'url': 'https://www.last.fm/music/The+Neighbourhood'}"
Pink + White,0,14766015,859521,,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,"{'name': 'Frank Ocean', 'mbid': 'e520459c-dff4-491d-a6e4-c97be35e0044', 'url': 'https://www.last.fm/music/Frank+Ocean'}"
Bound 2,229,10885685,853350,d823ad32-96ee-4ff0-9653-b99c4d39310a,https://www.last.fm/music/Kanye+West/_/Bound+2,"{'name': 'Kanye West', 'mbid': '164f0d73-1234-4e2c-8743-d77bf2191051', 'url': 'https://www.last.fm/music/Kanye+West'}"
Shut Down,0,5083813,200882,,https://www.last.fm/music/BLACKPINK/_/Shut+Down,"{'name': 'BLACKPINK', 'mbid': '', 'url': 'https://www.last.fm/music/BLACKPINK'}"
Die For You,0,8386854,638077,,https://www.last.fm/music/The+Weeknd/_/Die+For+You,"{'name': 'The Weeknd', 'mbid': 'c8b03190-306c-4120-bb0b-6f2ebfc06ea9', 'url': 'https://www.last.fm/music/The+Weeknd'}"
See You Again (feat. Kali Uchis),0,10956952,734229,,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)","{'name': 'Tyler, the Creator', 'mbid': 'f6beac20-5dfe-4d1f-ae02-0b0a740aafd6', 'url': 'https://www.last.fm/music/Tyler,+the+Creator'}"
Pink Venom,0,9817755,268611,,https://www.last.fm/music/BLACKPINK/_/Pink+Venom,"{'name': 'BLACKPINK', 'mbid': '', 'url': 'https://www.last.fm/music/BLACKPINK'}"
The Less I Know the Better,0,16437194,1168561,,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,"{'name': 'Tame Impala', 'mbid': '63aa26c3-d59b-4da4-84ac-716b54f1ef4d', 'url': 'https://www.last.fm/music/Tame+Impala'}"
sUPeR fREAky gIrl,0,3728118,295186,,https://www.last.fm/music/Nicki+Minaj/_/sUPeR+fREAky+gIrl,"{'name': 'Nicki Minaj', 'mbid': '1036b808-f58c-4a3e-b461-a2c4492ecf1b', 'url': 'https://www.last.fm/music/Nicki+Minaj'}"
CUFF IT,0,3375968,292934,,https://www.last.fm/music/Beyonc%C3%A9/_/CUFF+IT,"{'name': 'Beyoncé', 'mbid': '859d0860-d480-4efd-970c-c05d5f1776b8', 'url': 'https://www.last.fm/music/Beyonc%C3%A9'}"
aUgUSt,0,13586305,516261,,https://www.last.fm/music/Taylor+Swift/_/aUgUSt,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Stargirl Interlude,0,7286251,513897,,https://www.last.fm/music/The+Weeknd/_/Stargirl+Interlude,"{'name': 'The Weeknd', 'mbid': 'c8b03190-306c-4120-bb0b-6f2ebfc06ea9', 'url': 'https://www.last.fm/music/The+Weeknd'}"
I Wanna Be Yours,184,11036404,968858,a1ff202f-f271-4646-9aac-ba7c98e3a50c,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours,"{'name': 'Arctic Monkeys', 'mbid': 'ada7a83c-e3e1-40f1-93f9-3e73dbc9298a', 'url': 'https://www.last.fm/music/Arctic+Monkeys'}"
Why'd You Only Call Me When You're High?,161,15043942,1232492,4c986184-424a-44bb-ad23-b6261f3d044f,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,"{'name': 'Arctic Monkeys', 'mbid': 'ada7a83c-e3e1-40f1-93f9-3e73dbc9298a', 'url': 'https://www.last.fm/music/Arctic+Monkeys'}"
Late Night Talking,0,6149927,479613,,https://www.last.fm/music/Harry+Styles/_/Late+Night+Talking,"{'name': 'Harry Styles', 'mbid': '', 'url': 'https://www.last.fm/music/Harry+Styles'}"
Static,0,2553997,286631,,https://www.last.fm/music/Steve+Lacy/_/Static,"{'name': 'Steve Lacy', 'mbid': 'ca9766a0-1c30-43e6-a213-bac1334efc4a', 'url': 'https://www.last.fm/music/Steve+Lacy'}"
