name,playcount,listeners,url
The Weeknd,350681104,2829506,https://www.last.fm/music/The+Weeknd
Kanye West,662315622,5682919,https://www.last.fm/music/Kanye+West
Taylor Swift,881965395,3514400,https://www.last.fm/music/Taylor+Swift
Kendrick Lamar,298931381,2655015,https://www.last.fm/music/Kendrick+Lamar
Arctic Monkeys,470711387,4646114,https://www.last.fm/music/Arctic+Monkeys
Drake,356188247,4595884,https://www.last.fm/music/Drake
Harry Styles,179070628,1623581,https://www.last.fm/music/Harry+Styles
"Tyler, the Creator",286240089,1948758,"https://www.last.fm/music/Tyler,+the+Creator"
Billie Eilish,215137978,1890101,https://www.last.fm/music/Billie+Eilish
Lana Del Rey,498094396,2997243,https://www.last.fm/music/Lana+Del+Rey
Frank Ocean,275627496,2305255,https://www.last.fm/music/Frank+Ocean
Steve Lacy,63822291,1098454,https://www.last.fm/music/Steve+Lacy
Doja Cat,166424278,1621197,https://www.last.fm/music/Doja+Cat
Rihanna,284095891,5739061,https://www.last.fm/music/Rihanna
Coldplay,485511332,6553947,https://www.last.fm/music/Coldplay
Ariana Grande,370000030,2332104,https://www.last.fm/music/Ariana+Grande
Radiohead,653069088,5660686,https://www.last.fm/music/Radiohead
Joji,119430745,1353375,https://www.last.fm/music/Joji
The Neighbourhood,126093622,1919207,https://www.last.fm/music/The+Neighbourhood
Gorillaz,258537317,4592681,https://www.last.fm/music/Gorillaz
Lady Gaga,453151138,4941605,https://www.last.fm/music/Lady+Gaga
Tame Impala,164579441,2186409,https://www.last.fm/music/Tame+Impala
Post Malone,132858682,1784606,https://www.last.fm/music/Post+Malone
Beyoncé,273185163,4565379,https://www.last.fm/music/Beyonc%C3%A9
Childish Gambino,122617582,1942676,https://www.last.fm/music/Childish+Gambino
Eminem,300963070,5626337,https://www.last.fm/music/Eminem
Bruno Mars,113697519,3030341,https://www.last.fm/music/Bruno+Mars
Paramore,255222303,3377354,https://www.last.fm/music/Paramore
Nirvana,301858177,5268369,https://www.last.fm/music/Nirvana
Katy Perry,230827602,4799990,https://www.last.fm/music/Katy+Perry
Nicki Minaj,137445761,2992056,https://www.last.fm/music/Nicki+Minaj
Mac Miller,167401906,1973772,https://www.last.fm/music/Mac+Miller
Travis Scott,105409599,1137827,https://www.last.fm/music/Travis+Scott
Sam Smith,59788008,1777310,https://www.last.fm/music/Sam+Smith
Mitski,157713426,1105964,https://www.last.fm/music/Mitski
Queen,259761044,5065326,https://www.last.fm/music/Queen
Olivia Rodrigo,120861682,1244624,https://www.last.fm/music/Olivia+Rodrigo
Jay-Z,132759681,4119541,https://www.last.fm/music/Jay-Z
The Beatles,655287569,4596608,https://www.last.fm/music/The+Beatles
Calvin Harris,110774598,3203610,https://www.last.fm/music/Calvin+Harris
Playboi Carti,200635351,965667,https://www.last.fm/music/Playboi+Carti
Lil Nas X,70085663,1498589,https://www.last.fm/music/Lil+Nas+X
Lorde,186859498,2201428,https://www.last.fm/music/Lorde
Dua Lipa,143634790,1673739,https://www.last.fm/music/Dua+Lipa
The Smiths,229260919,3027331,https://www.last.fm/music/The+Smiths
xxxtentacion,120568469,1275365,https://www.last.fm/music/xxxtentacion
Ed Sheeran,150876348,2683520,https://www.last.fm/music/Ed+Sheeran
J. Cole,116737202,2442263,https://www.last.fm/music/J.+Cole
Kid Cudi,159117923,3366887,https://www.last.fm/music/Kid+Cudi
Elton John,85653311,3464607,https://www.last.fm/music/Elton+John
Justin Bieber,126428593,2725326,https://www.last.fm/music/Justin+Bieber
Clairo,67145376,1138156,https://www.last.fm/music/Clairo
A$AP Rocky,119047134,1769201,https://www.last.fm/music/A$AP+Rocky
Imagine Dragons,139586358,2597754,https://www.last.fm/music/Imagine+Dragons
Mac DeMarco,94478658,1360316,https://www.last.fm/music/Mac+DeMarco
BLACKPINK,147515415,881034,https://www.last.fm/music/BLACKPINK
Future,116399492,1512697,https://www.last.fm/music/Future
David Guetta,115220828,3623890,https://www.last.fm/music/David+Guetta
Michael Jackson,174009174,4487067,https://www.last.fm/music/Michael+Jackson
Adele,188561985,3832406,https://www.last.fm/music/Adele
SZA,82426018,1279413,https://www.last.fm/music/SZA
Maroon 5,156234931,4502352,https://www.last.fm/music/Maroon+5
The Strokes,248348439,4034345,https://www.last.fm/music/The+Strokes
Kali Uchis,72217386,1157399,https://www.last.fm/music/Kali+Uchis
Rex Orange County,58777962,1054538,https://www.last.fm/music/Rex+Orange+County
Miley Cyrus,146136780,3028863,https://www.last.fm/music/Miley+Cyrus
Fleetwood Mac,118260160,2997207,https://www.last.fm/music/Fleetwood+Mac
Red Hot Chili Peppers,357738820,5371857,https://www.last.fm/music/Red+Hot+Chili+Peppers
LIL UZI VERT,132868941,1108981,https://www.last.fm/music/LIL+UZI+VERT
Baby Keem,56470670,757610,https://www.last.fm/music/Baby+Keem
The Cure,210269864,3634776,https://www.last.fm/music/The+Cure
Conan Gray,62231793,995171,https://www.last.fm/music/Conan+Gray
Juice WRLD,201162047,1157473,https://www.last.fm/music/Juice+WRLD
Cigarettes After Sex,52184469,1006955,https://www.last.fm/music/Cigarettes+After+Sex
Britney Spears,265562629,4189704,https://www.last.fm/music/Britney+Spears
David Bowie,255296267,4062693,https://www.last.fm/music/David+Bowie
My Chemical Romance,205121150,3111527,https://www.last.fm/music/My+Chemical+Romance
Phoebe Bridgers,92961891,913189,https://www.last.fm/music/Phoebe+Bridgers
Daft Punk,259953657,4599075,https://www.last.fm/music/Daft+Punk
Panic! at the Disco,165981763,3043787,https://www.last.fm/music/Panic%21+at+the+Disco
BTS,1525553229,1160706,https://www.last.fm/music/BTS
Green Day,239128259,4543295,https://www.last.fm/music/Green+Day
Kate Bush,74842881,2029805,https://www.last.fm/music/Kate+Bush
ABBA,81601959,2524454,https://www.last.fm/music/ABBA
MGMT,130662731,3606467,https://www.last.fm/music/MGMT
Twenty One Pilots,129956947,1634867,https://www.last.fm/music/Twenty+One+Pilots
Beach House,122921990,1943574,https://www.last.fm/music/Beach+House
Linkin Park,359906957,4699115,https://www.last.fm/music/Linkin+Park
The Killers,252008785,5198196,https://www.last.fm/music/The+Killers
Deftones,164095026,2284289,https://www.last.fm/music/Deftones
One Direction,137441888,1853166,https://www.last.fm/music/One+Direction
Girl In Red,36423613,974651,https://www.last.fm/music/Girl+In+Red
Rosalía,65679501,791905,https://www.last.fm/music/Rosal%C3%ADa
OneRepublic,84953175,3029899,https://www.last.fm/music/OneRepublic
The 1975,101414979,1485753,https://www.last.fm/music/The+1975
Cage the Elephant,67425284,2021865,https://www.last.fm/music/Cage+the+Elephant
Pink Floyd,388719341,3781359,https://www.last.fm/music/Pink+Floyd
Pixies,132602132,2952155,https://www.last.fm/music/Pixies
Glass Animals,60995968,1425604,https://www.last.fm/music/Glass+Animals
21 Savage,59884788,901472,https://www.last.fm/music/21+Savage
Charli XCX,137634443,1534518,https://www.last.fm/music/Charli+XCX
Trippie Redd,73055957,837865,https://www.last.fm/music/Trippie+Redd
Bad Bunny,83921006,799253,https://www.last.fm/music/Bad+Bunny
Metallica,337789038,3542332,https://www.last.fm/music/Metallica
Halsey,104558056,1457125,https://www.last.fm/music/Halsey
Foo Fighters,231320222,4602170,https://www.last.fm/music/Foo+Fighters
Charlie Puth,48825661,1172242,https://www.last.fm/music/Charlie+Puth
